first_name,n_incidents
david,1266734
michael,1225179
daniel,743583
john,742067
thomas,694262
peter,673685
robert,650396
andrew,534189
james,520583
paul,491029
mark,465238
christopher,443739
martin,441821
alexander,436776
anna,433015
matthew,428570
richard,426590
maria,397844
andrea,391822
laura,383010
sarah,358825
christian,357333
william,343113
jennifer,321017
jonathan,318785
eric,318360
stephen,308418
joseph,297651
marco,275623
benjamin,270759
ali,268241
patrick,266532
elizabeth,265168
andreas,264315
steven,262497
brian,260217
jan,257203
antonio,246789
kevin,239668
sara,239388
stefan,234365
mohamed,227874
francesco,227069
jeffrey,226499
adam,223237
carlos,220028
ahmed,215652
elena,213387
mohammad,213005
simon,207455
nicholas,205424
ana,201654
george,200696
marc,199532
scott,198844
jason,197304
muhammad,195771
charles,195566
jessica,195436
anne,190040
lisa,186376
frank,186020
timothy,181480
susan,180289
julia,179917
rebecca,176727
catherine,174630
anthony,174194
juan,169708
emily,168516
rachel,164818
barbara,162748
joshua,162266
christine,161551
alessandro,159206
karen,159116
philip,158637
roberto,157560
samuel,156843
matthias,156297
nicolas,154647
ryan,154581
giuseppe,153546
marta,152786
alberto,149408
michelle,149311
stephanie,148415
sebastian,148305
claudia,146585
gregory,145844
luca,145511
luis,144708
cristina,144548
alexandra,143362
markus,142878
christoph,141840
alex,141690
ian,141256
amy,141085
julie,140798
edward,140381
nicole,140319
katherine,140154
sandra,139792
francisco,139495
paolo,139116
manuel,138949
patricia,138216
mohammed,138070
stefano,136189
alan,135698
jorge,134369
philippe,133432
chris,132179
mario,132106
caroline,131926
vincent,131216
javier,131176
giovanni,131011
pedro,130557
francesca,130189
fernando,130070
takashi,128634
christina,127885
hiroshi,127866
amanda,127243
angela,125927
silvia,125326
mary,125205
vladimir,124802
victor,123507
eva,122627
ivan,122189
kenneth,121360
daniela,120704
miguel,118895
pierre,117857
marina,117543
justin,117358
olga,117146
johannes,117116
melissa,113895
lauren,113343
olivier,112082
aaron,111411
bruno,111081
tim,109461
douglas,109133
michele,108640
oliver,108172
linda,107528
jun,106616
natalia,106279
nicola,105923
florian,105649
tobias,105255
rafael,104698
claire,104649
pablo,104271
emma,103973
jacob,102270
ricardo,101631
diana,101575
eduardo,101146
gabriel,100902
erik,100761
jose,99941
tom,99163
ahmad,98347
nathan,97014
igor,96493
ben,95629
sean,95620
matteo,95350
adrian,95268
jeremy,94706
victoria,94380
sergio,94206
helen,94201
sergey,93286
sophie,93091
gary,91757
diego,91613
satoshi,91574
simone,91495
wei,91148
fabio,91104
alejandro,91038
marie,91005
alexandre,90528
megan,90128
monica,90082
yu,89452
wolfgang,89354
heather,88841
hannah,87607
joanna,86753
lars,86726
chiara,86630
bruce,86482
paula,86400
kathryn,86188
hiroyuki,85799
