first_name,n_incidents,predicted_nationality,confidence
david,1266734,American,0.249013
michael,1225179,American,0.331465
daniel,743583,American,0.239577
john,742067,American,0.342939
thomas,694262,Greek,0.240514
peter,673685,American,0.402706
robert,650396,American,0.388435
andrew,534189,American,0.249378
james,520583,American,0.238433
paul,491029,American,0.22613
mark,465238,American,0.38777
christopher,443739,English,0.186019
martin,441821,American,0.232327
alexander,436776,American,0.338867
anna,433015,American,0.136015
matthew,428570,American,0.144642
richard,426590,American,0.373373
maria,397844,American,0.15815
andrea,391822,American,0.134914
laura,383010,American,0.205786
sarah,358825,Iranian,0.286428
christian,357333,American,0.106012
william,343113,American,0.230157
jennifer,321017,American,0.364767
jonathan,318785,Indian,0.649706
eric,318360,American,0.259738
stephen,308418,American,0.195984
joseph,297651,Indian,0.470197
marco,275623,American,0.261944
benjamin,270759,American,0.216329
ali,268241,American,0.308846
patrick,266532,American,0.261608
elizabeth,265168,American,0.23117
andreas,264315,Portuguese,0.180751
steven,262497,American,0.294626
brian,260217,Brazilian,0.201318
jan,257203,Indian,0.197701
antonio,246789,American,0.210267
kevin,239668,American,0.256476
sara,239388,American,0.138377
stefan,234365,American,0.192821
mohamed,227874,American,0.214639
francesco,227069,Italian,0.326138
jeffrey,226499,American,0.292066
adam,223237,American,0.222626
carlos,220028,American,0.178251
ahmed,215652,Egyptian,0.262338
elena,213387,Russian,0.150047
mohammad,213005,Iranian,0.372032
simon,207455,American,0.121573
nicholas,205424,Greek,0.401499
ana,201654,American,0.164748
george,200696,American,0.226749
marc,199532,French,0.284326
scott,198844,American,0.615901
jason,197304,American,0.161536
muhammad,195771,Indian,0.229758
charles,195566,American,0.170183
jessica,195436,American,0.267607
anne,190040,American,0.218868
lisa,186376,American,0.2205
frank,186020,American,0.269564
timothy,181480,American,0.235829
susan,180289,American,0.125182
julia,179917,Indian,0.28407
rebecca,176727,Italian,0.242472
catherine,174630,American,0.185144
anthony,174194,American,0.192914
juan,169708,Chinese,0.195796
emily,168516,American,0.220449
rachel,164818,American,0.45166
barbara,162748,Iranian,0.230739
joshua,162266,Indian,0.356463
christine,161551,English,0.229534
alessandro,159206,Italian,0.3789
karen,159116,American,0.131843
philip,158637,Russian,0.204573
roberto,157560,Brazilian,0.39268
samuel,156843,American,0.184787
matthias,156297,Greek,0.284762
nicolas,154647,French,0.28969
ryan,154581,Armenian,0.820496
giuseppe,153546,Italian,0.470384
marta,152786,American,0.194122
alberto,149408,Brazilian,0.336994
michelle,149311,American,0.294361
stephanie,148415,American,0.252068
sebastian,148305,Armenian,0.230141
claudia,146585,Indonesian,0.128675
gregory,145844,American,0.349758
luca,145511,American,0.223711
luis,144708,American,0.534834
cristina,144548,American,0.174579
alexandra,143362,American,0.135815
markus,142878,Greek,0.14475
christoph,141840,German,0.294261
alex,141690,American,0.357364
ian,141256,Armenian,0.146944
amy,141085,American,0.311625
julie,140798,Indian,0.207853
edward,140381,American,0.377009
nicole,140319,Italian,0.171664
katherine,140154,Russian,0.172165
sandra,139792,Indian,0.277442
francisco,139495,Brazilian,0.206055
paolo,139116,American,0.133827
manuel,138949,American,0.200198
patricia,138216,Brazilian,0.131957
mohammed,138070,Indian,0.225078
stefano,136189,Italian,0.380721
alan,135698,American,0.258733
jorge,134369,American,0.169686
philippe,133432,French,0.271109
chris,132179,Greek,0.208469
mario,132106,American,0.241159
caroline,131926,American,0.176692
vincent,131216,American,0.288834
javier,131176,French,0.290986
giovanni,131011,Italian,0.742251
pedro,130557,American,0.185394
francesca,130189,Italian,0.350376
fernando,130070,Brazilian,0.310593
takashi,128634,Japanese,0.81683
christina,127885,Bulgarian,0.114062
hiroshi,127866,Japanese,0.662775
amanda,127243,Indian,0.163568
angela,125927,American,0.206255
silvia,125326,Brazilian,0.159795
mary,125205,American,0.348273
vladimir,124802,Russian,0.393146
victor,123507,American,0.271983
eva,122627,Bulgarian,0.600017
ivan,122189,American,0.102244
kenneth,121360,American,0.23481
daniela,120704,American,0.145644
miguel,118895,American,0.229509
pierre,117857,French,0.272727
marina,117543,Russian,0.235434
justin,117358,American,0.366692
olga,117146,American,0.145983
johannes,117116,German,0.218464
melissa,113895,American,0.111461
lauren,113343,American,0.224573
olivier,112082,French,0.764604
aaron,111411,American,0.186144
bruno,111081,Brazilian,0.372567
tim,109461,American,0.373713
douglas,109133,American,0.181867
michele,108640,American,0.313504
oliver,108172,American,0.305545
linda,107528,American,0.209503
jun,106616,Korean,0.309987
natalia,106279,Brazilian,0.096119
nicola,105923,Italian,0.384207
florian,105649,Armenian,0.204979
tobias,105255,Greek,0.493729
rafael,104698,Brazilian,0.381776
claire,104649,American,0.249476
pablo,104271,American,0.24826
emma,103973,American,0.161171
jacob,102270,American,0.204429
ricardo,101631,Brazilian,0.295333
diana,101575,American,0.094292
eduardo,101146,Brazilian,0.251547
gabriel,100902,American,0.194498
erik,100761,American,0.344857
jose,99941,Indian,0.193935
tom,99163,American,0.339052
ahmad,98347,Iranian,0.266551
nathan,97014,Indian,0.219637
igor,96493,French,0.139789
ben,95629,American,0.262925
sean,95620,Korean,0.203663
matteo,95350,American,0.225466
adrian,95268,Armenian,0.183007
jeremy,94706,American,0.197252
victoria,94380,Russian,0.172975
sergio,94206,American,0.170482
helen,94201,American,0.211698
sergey,93286,French,0.239834
sophie,93091,English,0.184364
gary,91757,American,0.257725
diego,91613,American,0.213144
satoshi,91574,Japanese,0.889934
simone,91495,Italian,0.098652
wei,91148,American,0.210939
fabio,91104,American,0.170433
alejandro,91038,American,0.178425
marie,91005,American,0.257411
alexandre,90528,Brazilian,0.220344
megan,90128,American,0.437596
monica,90082,American,0.258416
yu,89452,Japanese,0.165702
wolfgang,89354,German,0.403372
heather,88841,American,0.448086
hannah,87607,Iranian,0.108307
joanna,86753,Indian,0.278969
lars,86726,American,0.418958
chiara,86630,Italian,0.133137
bruce,86482,American,0.435912
paula,86400,Brazilian,0.159492
kathryn,86188,Armenian,0.140297
hiroyuki,85799,Japanese,0.848869
carmen,85646,American,0.317298
erin,84732,American,0.308331
stephan,84549,American,0.187073
felix,83769,American,0.300887
ronald,83763,American,0.45887
kelly,82983,American,0.366493
philipp,82978,American,0.23012
amir,82876,American,0.294949
federico,82789,Italian,0.160986
teresa,82745,Ethiopian,0.136871
jane,82699,American,0.185077
laurent,82655,French,0.60637
neil,82511,Brazilian,0.288639
michel,82491,French,0.318685
roger,82060,American,0.423655
deborah,81373,Nigerian,0.226843
amit,81135,American,0.407035
joel,80974,Indian,0.273098
dan,80627,American,0.333153
jens,80470,Dutch,0.192969
craig,80451,American,0.317555
claudio,80206,American,0.143651
robin,80172,American,0.235173
emmanuel,79970,French,0.219419
valentina,79785,Russian,0.63269
takeshi,79642,Japanese,0.745986
paola,79627,Indian,0.169769
christophe,79451,French,0.229035
maryam,79407,Iranian,0.310611
irene,79104,American,0.071286
lorenzo,78971,Italian,0.201684
massimo,78530,Brazilian,0.194421
margaret,78458,French,0.529639
albert,77404,American,0.35049
isabel,76947,American,0.151361
charlotte,76405,American,0.15925
martina,76077,American,0.157591
kathleen,75589,American,0.282033
alison,75464,American,0.317522
nancy,75444,American,0.362721
alice,75263,American,0.365139
monika,75149,American,0.145491
keith,75025,American,0.465594
piotr,73339,American,0.360588
jean,73249,American,0.183519
xavier,73199,American,0.227087
omar,72746,American,0.28193
hans,72510,American,0.314823
ashley,72510,American,0.452516
carlo,72284,American,0.261649
reza,72240,American,0.162234
julian,72138,Armenian,0.17126
giulia,72120,Italian,0.155884
dennis,71805,American,0.176616
davide,71801,American,0.119658
atsushi,71757,Japanese,0.93582
guillaume,71206,French,0.529294
samantha,71114,Indian,0.515097
nina,71093,Russian,0.238232
alessandra,70718,Italian,0.304964
irina,70595,Russian,0.361022
rodrigo,70588,Brazilian,0.436417
yuki,70425,Japanese,0.670635
isabelle,70287,French,0.245068
elisa,69849,American,0.113795
ruth,69237,American,0.367423
dirk,68976,American,0.365755
judith,68913,Indian,0.382768
andrey,68878,American,0.176038
denis,68606,Greek,0.202434
donald,68568,American,0.354396
pavel,68315,American,0.19132
danielle,68311,American,0.281193
vanessa,68204,Brazilian,0.116085
natalie,68163,American,0.191109
julien,68004,French,0.178239
mehdi,67419,Iranian,0.47611
roman,67364,American,0.220522
kate,67211,American,0.254665
johan,67019,Indian,0.250156
walter,67003,American,0.270532
akira,66676,Japanese,0.456106
colin,66398,American,0.277085
marcus,66377,American,0.283998
kenji,66200,Japanese,0.53327
carolina,66187,Italian,0.288984
daniele,66015,American,0.205976
klaus,65960,German,0.36341
henry,65945,French,0.161863
melanie,65703,American,0.305766
carla,65475,American,0.237598
yusuke,65116,Japanese,0.810156
sonia,64931,American,0.111065
sharon,64854,Israeli,0.178664
mahmoud,64740,Iranian,0.401319
magdalena,64607,Indian,0.104285
masahiro,64350,Japanese,0.660304
alireza,64058,American,0.144523
luigi,63828,Italian,0.307131
mustafa,63366,American,0.149097
michal,63170,American,0.197228
ann,62855,American,0.27205
abdullah,62847,Pakistani,0.195453
stuart,62702,American,0.269752
leonardo,62630,Brazilian,0.342005
pascal,62443,French,0.134027
kyle,62398,American,0.330552
dmitry,62124,Indian,0.189217
anita,62025,American,0.144942
kim,61551,Korean,0.268181
hassan,61408,French,0.105574
rita,61200,American,0.20992
jonas,61179,Greek,0.195092
jack,61062,American,0.28098
ken,60911,American,0.296418
esther,60816,American,0.336875
bernard,60697,French,0.382575
takahiro,60561,Japanese,0.858981
katarzyna,60504,Russian,0.4278
cynthia,60432,American,0.175513
louise,60264,American,0.276095
susanne,60238,American,0.107462
makoto,60080,Japanese,0.288751
lucas,59983,American,0.251383
steve,59917,American,0.314174
zachary,59815,American,0.329692
yang,59810,Chinese,0.411323
allison,59566,American,0.317921
kimberly,59548,American,0.312223
elisabeth,59368,American,0.175691
daisuke,59145,Japanese,0.611485
ulrich,59130,American,0.207185
roland,58871,American,0.340054
konstantinos,58790,Greek,0.925124
ibrahim,58622,Iranian,0.098083
jacqueline,58593,French,0.362734
nathalie,58565,Indian,0.161741
anton,58494,American,0.234525
rahul,58372,American,0.344545
tomasz,58172,American,0.367125
riccardo,58107,Italian,0.361021
koji,58093,Japanese,0.299578
karin,57988,Russian,0.252004
ellen,57887,Brazilian,0.338607
suzanne,57823,Japanese,0.130902
enrico,57795,Italian,0.24265
alexey,57774,American,0.249058
vincenzo,57582,American,0.208595
karl,57565,American,0.249907
rui,57232,American,0.307142
todd,57140,American,0.586047
lukas,57127,Greek,0.217375
ioannis,56936,Greek,0.675705
gabriela,56569,Brazilian,0.130121
federica,56532,American,0.138182
boris,56483,American,0.184592
miriam,56460,Iranian,0.301365
katharina,56263,Indian,0.294951
hiroki,56244,Japanese,0.676836
alain,56090,American,0.231557
tatiana,55943,Greek,0.142029
lawrence,55902,American,0.463023
jay,55769,Indian,0.253435
bryan,55585,Armenian,0.632766
gustavo,55522,American,0.269812
jordan,55431,Iranian,0.257246
mikhail,55421,Indian,0.325664
kristina,55401,Russian,0.295293
kai,55336,American,0.188711
luke,55002,American,0.344974
pamela,54951,Indian,0.219213
hossein,54934,Korean,0.183891
mariana,54872,American,0.134379
nadia,54836,Brazilian,0.162294
jon,54722,American,0.247256
sanjay,54635,Indian,0.426191
zahra,54630,American,0.140645
antoine,54554,French,0.264345
marcelo,54510,Brazilian,0.410735
