last_name,n_incidents
kim,1326018
lee,1229609
wang,773720
chen,714150
li,558551
zhang,527528
park,512722
liu,487871
kumar,483084
singh,445113
yang,369030
lin,337161
wu,320919
huang,304191
sharma,289069
choi,283128
smith,267762
khan,262302
chang,252865
nguyen,240828
gupta,224024
yu,192938
patel,188481
silva,182280
ali,180584
kang,177670
xu,174314
cho,172346
ahmed,164925
han,163447
jones,161706
lim,158278
johnson,157872
zhou,152794
song,150185
shah,148428
brown,148283
zhao,147436
sun,146910
williams,145406
das,145204
lu,143699
jung,138341
group,137591
miller,134760
thomas,133989
cheng,133631
tan,133475
martin,132743
santos,128976
shin,126878
hu,123791
zhu,123146
hong,121352
wong,119353
ahmad,118214
chung,114044
chan,109714
taylor,108697
wilson,107754
oh,107670
tanaka,107516
pereira,106863
ferreira,103698
costa,103453
suzuki,103388
anderson,100835
ma,100603
hwang,100445
rahman,98964
oliveira,98476
mishra,97168
schmidt,97027
jeong,95733
hsu,95542
jain,95096
jiang,94878
roy,94144
sato,93852
yoon,93781
tang,91139
takahashi,90631
ghosh,90536
kwon,89533
tsai,89172
guo,88791
thompson,86723
davis,86392
gao,84868
rao,84498
nakamura,84361
jang,84203
he,84024
tran,83933
watanabe,83541
yamamoto,82714
white,82446
yadav,80681
hassan,79852
rodrigues,79741
islam,79116
moore,78606
cohen,77505
ibrahim,76937
ho,76934
garcia,76819
young,76537
shen,76121
reddy,74841
kobayashi,74277
zheng,74092
schneider,73115
ahn,73031
su,72871
meyer,72070
verma,71704
shi,71511
lai,70614
kaur,69733
wagner,69105
martins,68992
clark,68455
harris,68074
wei,68045
evans,67843
mohamed,67838
seo,67555
weber,66980
walker,66731
ito,66696
roberts,66658
lewis,66502
hussain,66433
ng,66356
pandey,65217
joshi,65138
jin,64695
investigators,64342
robinson,64256
murphy,63900
yan,63897
fischer,63547
hall,63530
ribeiro,63264
le,62948
liang,62075
saito,62059
scott,62014
hansen,61882
ko,61766
fernandes,61262
wright,61236
campbell,61226
kato,60850
luo,60354
srivastava,60305
yoo,60147
paul,60122
klein,59607
king,59415
rodriguez,58846
hill,58608
agarwal,58578
nelson,58359
baker,58344
moon,58229
carvalho,58220
lima,58071
rossi,57940
yamada,57540
gomes,57377
yoshida,57222
cao,56914
banerjee,56600
feng,56588
jackson,56363
allen,56312
pan,56253
torres,55935
xie,55855
green,55333
martinez,55083
kelly,54224
jeon,54025
morris,53911
chu,53491
alves,53296
kuo,53226
jensen,52968
fan,52604
wood,52549
patil,52538
mehta,52262
lopes,51827
adams,51712
sarkar,51434
saha,51383
davies,51089
pham,51084
dong,51034
cooper,50857
peters,50806
ramos,50739
prasad,50301
mitchell,50057
liao,50008
ismail,49427
yuan,49199
fu,49197
castro,49121
pinto,49109
inoue,48921
nielsen,48892
george,48708
mukherjee,48484
simon,48353
becker,48293
hasan,48233
phillips,48198
malik,48065
mori,48058
peng,47803
hayashi,47779
turner,47183
alam,47032
hughes,46961
gonzalez,46850
edwards,46832
mohammed,46689
collins,46093
hossain,45981
murray,45962
stewart,45921
matsumoto,45912
chakraborty,45679
yao,45678
xiao,45470
fang,45435
bae,45411
yamaguchi,45162
ding,44979
ye,44684
garg,44077
ha,43760
moreno,43752
ward,43746
ross,43689
sinha,43614
almeida,43509
hung,43211
hsieh,43180
soares,43117
parker,42991
long,42916
chou,42869
shimizu,42838
cai,42676
pal,42665
morgan,42531
kimura,42503
biswas,42497
james,42047
souza,41949
ryu,41937
weiss,41929
dias,41691
lopez,41674
wolf,41674
tiwari,41671
sasaki,41638
dutta,41632
nam,41568
iqbal,41567
ray,41259
berger,41197
agrawal,41030
ryan,41026
watson,40957
chatterjee,40949
bell,40861
bauer,40739
lam,40695
cook,40615
son,40472
rocha,40390
abdullah,40368
chiu,40315
shaw,40243
chowdhury,39816
fisher,39630
walsh,39240
yeh,39239
harrison,39231
schwartz,39144
marques,39103
machado,38988
nair,38814
hoffmann,38784
perez,38671
sanchez,38535
bennett,38405
andersen,38372
teixeira,38274
du,38131
gu,38053
gray,37934
marshall,37766
kennedy,37326
vieira,37236
romero,37066
yin,36960
rogers,36909
amin,36605
graham,36574
cruz,36539
moreira,36497
yun,36464
bhattacharya,36215
sousa,36207
lang,36195
sung,36187
sullivan,36172
price,36110
russo,36084
richardson,35979
shukla,35938
mueller,35809
desai,35734
deng,35685
levy,35668
gordon,35627
jo,35429
carter,35329
lo,35235
joseph,35196
consortium,35039
clarke,34993
kong,34954
abe,34895
fernandez,34823
ivanov,34765
kumari,34672
an,34599
russell,34374
jacobs,34330
hernandez,34228
min,34132
abbas,34112
mandal,34092
barbosa,34083
arora,34062
ren,33989
chiang,33982
ruiz,33971
tian,33932
alexander,33874
fox,33840
zeng,33796
wen,33762
mondal,33702
cox,33692
tseng,33664
chauhan,33570
keller,33517
koch,33431
ji,33344
reis,33081
yi,33032
okada,33029
petersen,33014
stein,33003
ferrari,32852
duarte,32796
peterson,32575
andrade,32539
aziz,32525
hashimoto,32415
hasegawa,32369
cardoso,32270
sahoo,32243
ikeda,32178
dai,32077
hamilton,32008
david,31958
sen,31922
campos,31906
beck,31874
kulkarni,31772
cui,31757
jha,31735
simpson,31634
lau,31618
butler,31491
koh,31483
ong,31446
yamashita,31214
christensen,31068
dey,31024
gill,31021
mayer,30955
mcdonald,30817
hou,30768
john,30717
ogawa,30700
nayak,30643
bailey,30622
woo,30613
richter,30594
rose,30579
arnold,30340
robertson,30063
gomez,30002
nunes,29989
johnston,29924
tripathi,29885
thakur,29870
mohammadi,29841
foster,29781
shrestha,29776
franco,29689
bhat,29683
sakai,29660
navarro,29613
kondo,29572
mahmoud,29528
prakash,29500
stone,29406
pedersen,29279
fujita,29224
schmitt,29122
maeda,29105
flores,29060
mohan,28974
braun,28935
miranda,28926
goyal,28910
sari,28804
stevens,28721
baek,28694
ishikawa,28678
lange,28650
morales,28647
meng,28572
xia,28510
chong,28468
alonso,28453
brooks,28427
sahu,28373
monteiro,28301
palmer,28297
reynolds,28283
takeuchi,28224
fonseca,28209
gibson,28125
hahn,28073
ellis,27986
fujii,27851
macdonald,27830
diaz,27634
cole,27621
leung,27589
gilbert,27489
walter,27448
schulz,27410
roth,27360
murakami,27330
siddiqui,27328
reid,27251
huber,27244
rana,27224
yilmaz,27139
howard,27138
ullah,27087
sakamoto,27086
chaudhary,26881
khalil,26853
henderson,26751
you,26742
wallace,26738
barnes,26727
myers,26721
mendes,26720
aggarwal,26659
ishii,26618
acharya,26520
krishnan,26519
henry,26499
goto,26495
ansari,26449
mccarthy,26443
saleh,26425
richards,26421
qiu,26380
cheung,26366
bansal,26321
larsen,26263
grant,26245
jenkins,26244
rehman,26240
powell,26236
suh,26177
qin,26108
rashid,26079
hayes,26011
chapman,25985
hosseini,25984
chao,25890
srinivasan,25865
saxena,25830
chandra,25781
bai,25730
hoffman,25725
babu,25621
nakajima,25609
armstrong,25597
neto,25539
kaplan,25532
black,25500
frank,25487
anand,25486
holmes,25472
raj,25463
gross,25432
gong,25403
romano,25375
jacob,25324
jansen,25319
jia,25273
alvarez,25261
hart,25250
werner,25244
burke,25200
zimmermann,25199
zhong,25188
ferguson,25171
schwarz,25146
okamoto,25121
west,25015
nakano,24984
choudhary,24943
ueda,24934
shim,24911
hartmann,24896
basu,24805
abraham,24799
mason,24795
elliott,24755
mitra,24742
mills,24721
nakagawa,24701
coelho,24628
hussein,24608
davidson,24595
levin,24578
castillo,24572
