last_name,n_incidents,predicted_nationality,confidence
kim,1326018,Korean,0.268181
lee,1229609,American,0.405221
wang,773720,Korean,0.569408
chen,714150,American,0.214434
li,558551,American,0.327726
zhang,527528,Chinese,0.805861
park,512722,American,0.325639
liu,487871,American,0.186728
kumar,483084,Indian,0.336817
singh,445113,American,0.197021
yang,369030,Chinese,0.411323
lin,337161,American,0.418909
wu,320919,American,0.153357
huang,304191,Chinese,0.671377
sharma,289069,Indian,0.773174
choi,283128,American,0.128529
smith,267762,American,0.401176
khan,262302,Russian,0.187548
chang,252865,Chinese,0.398534
nguyen,240828,Chinese,0.230485
gupta,224024,Indian,0.367878
yu,192938,Japanese,0.165702
patel,188481,American,0.195158
silva,182280,Bulgarian,0.212759
ali,180584,American,0.308846
kang,177670,Korean,0.208384
xu,174314,American,0.233556
cho,172346,American,0.242256
ahmed,164925,Egyptian,0.262338
han,163447,American,0.285944
jones,161706,American,0.255889
lim,158278,American,0.296159
johnson,157872,American,0.212152
zhou,152794,Chinese,0.403085
song,150185,Chinese,0.316381
shah,148428,Indian,0.239219
brown,148283,American,0.513113
zhao,147436,Chinese,0.577857
sun,146910,Korean,0.345404
williams,145406,American,0.262804
das,145204,American,0.251098
lu,143699,American,0.332903
jung,138341,Korean,0.361276
group,137591,American,0.193759
miller,134760,American,0.42351
thomas,133989,Greek,0.240514
cheng,133631,Chinese,0.694952
tan,133475,American,0.323856
martin,132743,American,0.232327
santos,128976,Greek,0.443035
shin,126878,Japanese,0.429221
hu,123791,American,0.270161
zhu,123146,Chinese,0.356489
hong,121352,Chinese,0.462691
wong,119353,Korean,0.516109
ahmad,118214,Iranian,0.266551
chung,114044,Chinese,0.264268
chan,109714,American,0.20349
taylor,108697,American,0.38381
wilson,107754,American,0.258698
oh,107670,Liberian,0.117299
tanaka,107516,Japanese,0.369067
pereira,106863,Brazilian,0.326467
ferreira,103698,Portuguese,0.457679
costa,103453,American,0.191478
suzuki,103388,Japanese,0.959376
anderson,100835,Brazilian,0.538274
ma,100603,American,0.308403
hwang,100445,Korean,0.883138
rahman,98964,American,0.142541
oliveira,98476,Brazilian,0.552645
mishra,97168,Indian,0.580718
schmidt,97027,German,0.565931
jeong,95733,Korean,0.960103
hsu,95542,Japanese,0.181761
jain,95096,Indian,0.282489
jiang,94878,Chinese,0.477317
